,Discharge.Montana abv McGinnis@near Juneau,Discharge.Montana abv McGinnis@near Juneau,Discharge.Montana abv McGinnis@near Juneau,Discharge.Montana abv McGinnis@near Juneau
mm/dd/yyyy HH:MM:SS,m^3/s,,,
Date-Time,Value,Grade,Approval,Interpolation Code
5/1/2021 15:15,1.565745152,,0,1
5/1/2021 15:30,1.547440904,,0,1
5/1/2021 15:45,1.520214958,,0,1
5/1/2021 16:00,1.520214958,,0,1
5/1/2021 16:15,1.520214958,,0,1
5/1/2021 16:30,1.511200985,,0,1
5/1/2021 16:45,1.502217641,,0,1
5/1/2021 17:00,1.502217641,,0,1
5/1/2021 17:15,1.502217641,,0,1
5/1/2021 17:30,1.502217641,,0,1
5/1/2021 17:45,1.493264898,,0,1
5/1/2021 18:00,1.511200985,,0,1
5/1/2021 18:15,1.484342731,,0,1
5/1/2021 18:30,1.493264898,,0,1
5/1/2021 18:45,1.484342731,,0,1
5/1/2021 19:00,1.475451113,,0,1
5/1/2021 19:15,1.475451113,,0,1
5/1/2021 19:30,1.484342731,,0,1
5/1/2021 19:45,1.475451113,,0,1
5/1/2021 20:00,1.484342731,,0,1
5/1/2021 20:15,1.466590019,,0,1
5/1/2021 20:30,1.493264898,,0,1
5/1/2021 20:45,1.466590019,,0,1
5/1/2021 21:00,1.457759421,,0,1
5/1/2021 21:15,1.457759421,,0,1
5/1/2021 21:30,1.466590019,,0,1
5/1/2021 21:45,1.448959294,,0,1
5/1/2021 22:00,1.448959294,,0,1
5/1/2021 22:15,1.448959294,,0,1
5/1/2021 22:30,1.440189611,,0,1
5/1/2021 22:45,1.448959294,,0,1
5/1/2021 23:00,1.431450346,,0,1
5/1/2021 23:15,1.422741471,,0,1
5/1/2021 23:30,1.440189611,,0,1
5/1/2021 23:45,1.431450346,,0,1
5/2/2021 0:00,1.414062962,,0,1
5/2/2021 0:15,1.40541479,,0,1
5/2/2021 0:30,1.396796929,,0,1
5/2/2021 0:45,1.40541479,,0,1
5/2/2021 1:00,1.354161363,,0,1
5/2/2021 1:15,1.371124949,,0,1
